"eez_id","eez_name","fishing_entity_id","fishing_entity"
16,"American Samoa",3,"American Samoa"
920,"Honduras (Pacific)",79,"Honduras"
921,"Honduras (Caribbean)",79,"Honduras"
949,"Nicaragua (Caribbean)",124,"Nicaragua"
950,"Nicaragua (Pacific)",124,"Nicaragua"
927,"Colombia (Caribbean)",35,"Colombia"
928,"Colombia (Pacific)",35,"Colombia"
76,"Brazil (mainland)",15,"Brazil"
929,"Costa Rica (Caribbean)",41,"Costa Rica"
930,"Costa Rica (Pacific)",41,"Costa Rica"
891,"Montenegro",194,"Montenegro"
191,"Croatia",42,"Croatia"
705,"Slovenia",162,"Slovenia"
56,"Belgium",12,"Belgium"
924,"Canada (Arctic)",26,"Canada"
925,"Canada (Pacific)",26,"Canada"
926,"Canada (East Coast)",26,"Canada"
277,"Germany (North Sea)",66,"Germany"
234,"Faeroe Isl. (Denmark)",54,"Faeroe Isl. (Denmark)"
262,"Djibouti",61,"Djibouti"
478,"Mauritania",108,"Mauritania"
941,"Kiribati (Gilbert Islands)",69,"Kiribati"
942,"Kiribati (Line Islands)",69,"Kiribati"
943,"Kiribati (Phoenix Islands)",69,"Kiribati"
428,"Latvia",98,"Latvia"
440,"Lithuania",101,"Lithuania"
233,"Estonia",53,"Estonia"
963,"Spain (Northwest)",165,"Spain"
246,"Finland",57,"Finland"
919,"France (Atlantic Coast)",58,"France"
372,"Ireland",86,"Ireland"
528,"Netherlands",118,"Netherlands"
931,"Denmark (Baltic Sea)",46,"Denmark"
932,"Denmark (North Sea)",46,"Denmark"
278,"Germany (Baltic Sea)",66,"Germany"
830,"Channel Isl. (UK)",184,"Channel Isl. (UK)"
222,"El Salvador",50,"El Salvador"
604,"Peru",137,"Peru"
793,"Turkey (Mediterranean Sea)",178,"Turkey"
368,"Iraq",85,"Iraq"
780,"Trinidad & Tobago",175,"Trinidad & Tobago"
645,"Russia (Barents Sea)",148,"Russian Federation"
647,"Russia (Black Sea)",148,"Russian Federation"
648,"Russia (Baltic Sea)",148,"Russian Federation"
620,"Portugal (mainland)",141,"Portugal"
621,"Madeira Isl. (Portugal)",217,"Madeira Isl. (Portugal)"
616,"Poland",140,"Poland"
410,"Korea (South)",95,"Korea (South)"
914,"Sweden (Baltic)",169,"Sweden"
915,"Sweden (West Coast)",169,"Sweden"
578,"Norway",128,"Norway"
622,"Azores Isl. (Portugal)",218,"Azores Isl. (Portugal)"
694,"Sierra Leone",159,"Sierra Leone"
111,"Eritrea",23,"Eritrea"
384,"Côte d'Ivoire",89,"Côte d'Ivoire"
361,"Indonesia (Eastern)",83,"Indonesia"
937,"Indonesia (Central)",83,"Indonesia"
938,"Indonesia (Indian Ocean)",83,"Indonesia"
804,"Ukraine",181,"Ukraine"
268,"Georgia",63,"Georgia"
922,"Iran (Persian Gulf)",84,"Iran"
100,"Bulgaria",21,"Bulgaria"
642,"Romania",147,"Romania"
649,"Russia (Far East)",148,"Russian Federation"
912,"Russia (Kara Sea)",148,"Russian Federation"
913,"Russia (Laptev to Chukchi Sea)",148,"Russian Federation"
390,"Japan (main islands)",91,"Japan"
393,"Japan (Daito Islands)",91,"Japan"
36,"Australia",7,"Australia"
612,"Pitcairn (UK)",139,"Pitcairn (UK)"
324,"Guinea",76,"Guinea"
916,"Yemen (Red Sea)",193,"Yemen"
686,"Senegal",157,"Senegal"
834,"Tanzania",186,"Tanzania"
104,"Myanmar",22,"Myanmar"
704,"Viet Nam",161,"Viet Nam"
933,"Egypt (Mediterranean)",182,"Egypt"
882,"Samoa",192,"Samoa"
788,"Tunisia",177,"Tunisia"
662,"Saint Lucia",152,"Saint Lucia"
944,"Mexico (Atlantic)",110,"Mexico"
945,"Mexico (Pacific)",110,"Mexico"
862,"Venezuela",190,"Venezuela"
192,"Cuba",43,"Cuba"
459,"Malaysia (Peninsula West)",104,"Malaysia"
460,"Malaysia (Peninsula East)",104,"Malaysia"
962,"Spain (mainland, Med and Gulf of Cadiz)",165,"Spain"
851,"USA (East Coast)",187,"USA"
852,"USA (Gulf of Mexico)",187,"USA"
175,"Mayotte (France)",37,"Mayotte (France)"
638,"Réunion (France)",146,"Réunion (France)"
174,"Comoros Isl.",36,"Comoros"
450,"Madagascar",103,"Madagascar"
598,"Papua New Guinea",136,"Papua New Guinea"
24,"Angola",4,"Angola"
178,"Congo, R. of",38,"Congo, R. of"
953,"South Africa (Atlantic and Cape)",164,"South Africa"
266,"Gabon",62,"Gabon"
84,"Belize",16,"Belize"
480,"Mauritius",109,"Mauritius"
690,"Seychelles",158,"Seychelles"
166,"Cocos (Keeling) Isl. (Australia)",34,"Cocos (Keeling) Isl. (Australia)"
520,"Nauru",117,"Nauru"
876,"Wallis & Futuna Isl. (France)",191,"Wallis & Futuna Isl. (France)"
184,"Cook Islands",40,"Cook Islands"
666,"Saint Pierre & Miquelon (France)",153,"Saint Pierre & Miquelon (France)"
258,"French Polynesia",60,"French Polynesia"
316,"Guam (USA)",74,"Guam (USA)"
574,"Norfolk Isl. (Australia)",127,"Norfolk Isl. (Australia)"
90,"Solomon Isl.",18,"Solomon Isl."
328,"Guyana",77,"Guyana"
946,"Morocco (Central)",113,"Morocco"
948,"Morocco (South)",113,"Morocco"
954,"South Africa (Indian Ocean Coast)",164,"South Africa"
462,"Maldives",105,"Maldives"
776,"Tonga",174,"Tonga"
242,"Fiji",56,"Fiji"
956,"Thailand (Andaman Sea)",171,"Thailand"
957,"Thailand (Gulf of Thailand)",171,"Thailand"
144,"Sri Lanka",29,"Sri Lanka"
858,"Uruguay",189,"Uruguay"
157,"Taiwan",32,"Taiwan"
270,"Gambia",64,"Gambia"
204,"Benin",45,"Benin"
768,"Togo",172,"Togo"
120,"Cameroon",25,"Cameroon"
586,"Pakistan",134,"Pakistan"
404,"Kenya",93,"Kenya"
116,"Cambodia",24,"Cambodia"
288,"Ghana",67,"Ghana"
50,"Bangladesh",10,"Bangladesh"
226,"Equatorial Guinea",51,"Equatorial Guinea"
740,"Suriname",168,"Suriname"
461,"Malaysia (Sabah)",104,"Malaysia"
44,"Bahamas",8,"Bahamas"
512,"Oman",115,"Oman"
414,"Kuwait",96,"Kuwait"
683,"Saudi Arabia (Red Sea)",156,"Saudi Arabia"
702,"Singapore",160,"Singapore"
904,"St Barthelemy (France)",209,"St Barthelemy (France)"
905,"St Martin (France)",210,"St Martin"
584,"Marshall Isl.",132,"Marshall Isl."
796,"Turks & Caicos Isl. (UK)",179,"Turks & Caicos Isl. (UK)"
92,"British Virgin Isl. (UK)",19,"British Virgin Isl. (UK)"
136,"Cayman Isl. (UK)",28,"Cayman Isl. (UK)"
430,"Liberia",99,"Liberia"
332,"Haiti",78,"Haiti"
678,"Sao Tome & Principe",155,"Sao Tome & Principe"
583,"Micronesia (Federated States of)",131,"Micronesia"
214,"Dominican Republic",48,"Dominican Republic"
951,"Panama (Caribbean)",135,"Panama"
952,"Panama (Pacific)",135,"Panama"
585,"Palau",133,"Palau"
470,"Malta",106,"Malta"
856,"Tristan da Cunha Isl. (UK)",220,"Tristan da Cunha Isl. (UK)"
910,"South Orkney Islands (UK)",215,"Sint Maarten"
855,"Ascension Isl. (UK)",219,"Ascension Isl. (UK)"
500,"Montserrat (UK)",112,"Montserrat (UK)"
312,"Guadeloupe  (France)",73,"Guadeloupe  (France)"
850,"US Virgin Isl.",188,"US Virgin Isl."
180,"Congo (ex-Zaire)",39,"Congo (ex-Zaire)"
670,"Saint Vincent & the Grenadines",154,"Saint Vincent & the Grenadines"
212,"Dominica",47,"Dominica"
12,"Algeria",2,"Algeria"
8,"Albania",1,"Albania"
794,"Turkey (Black Sea)",178,"Turkey"
28,"Antigua & Barbuda",5,"Antigua & Barbuda"
634,"Qatar",145,"Qatar"
96,"Brunei Darussalam",20,"Brunei Darussalam"
300,"Greece (without Crete)",70,"Greece"
344,"Hong Kong (China)",80,"Hong Kong"
396,"Johnston Atoll (USA)",216,"Johnston Atoll (USA)"
162,"Christmas Isl. (Australia)",33,"Christmas Isl. (Australia)"
0,"High Seas",223,"Fishing Country Unknown"
0,"High Seas",213,"Unknown Fishing Country"
999,"Outside of EEZ",223,"Fishing Country Unknown"
999,"Outside of EEZ",213,"Unknown Fishing Country"
474,"Martinique (France)",107,"Martinique (France)"
60,"Bermuda (UK)",13,"Bermuda (UK)"
906,"Curaçao (Netherlands)",214,"Curacao"
626,"Timor Leste",143,"Timor Leste"
935,"Guatemala (Caribbean)",75,"Guatemala"
936,"Guatemala (Pacific)",75,"Guatemala"
274,"Gaza Strip",65,"Gaza Strip"
308,"Grenada",72,"Grenada"
422,"Lebanon",97,"Lebanon"
659,"Saint Kitts & Nevis",150,"Saint Kitts & Nevis"
52,"Barbados",11,"Barbados"
968,"United Arab Emirates (Fujairah)",176,"United Arab Emirates"
684,"Saudi Arabia (Persian Gulf)",156,"Saudi Arabia"
939,"Israel (Mediterranean)",87,"Israel"
940,"Israel (Red Sea)",87,"Israel"
86,"Chagos Archipelago (UK)",17,"Brit. Indian Ocean Terr. (UK)"
907,"Bonaire (Netherlands)",222,"Bonaire (Netherlands)"
630,"Puerto Rico (USA)",144,"Puerto Rico (USA)"
706,"Somalia",163,"Somalia"
798,"Tuvalu",180,"Tuvalu"
772,"Tokelau (New Zealand)",173,"Tokelau (New Zealand)"
570,"Niue (New Zealand)",126,"Niue (New Zealand)"
654,"Saint Helena (UK)",149,"Saint Helena (UK)"
908,"Saba and Sint Eustatius (Netherlands)",221,"Saba and Saint Eustaius (Netherlands)"
760,"Syria",170,"Syrian Arab Republic"
966,"Turkey (Marmara Sea)",178,"Turkey"
911,"Oman (Musandam)",115,"Oman"
254,"French Guiana",59,"French Guiana"
660,"Anguilla (UK)",151,"Anguilla (UK)"
304,"Greenland (Denmark)",71,"Greenland"
540,"New Caledonia (France)",121,"New Caledonia (France)"
580,"Northern Marianas (USA)",129,"North Marianas (USA)"
967,"Aruba (Netherlands)",120,"Aruba (Netherlands)"
238,"Falkland Isl. (UK)",55,"Falkland Isl. (UK)"
508,"Mozambique",114,"Mozambique"
624,"Guinea-Bissau",142,"Guinea-Bissau"
917,"Yemen (Arabian Sea)",193,"Yemen"
736,"Sudan",167,"Sudan"
566,"Nigeria",125,"Nigeria"
548,"Vanuatu",122,"Vanuatu"
356,"India (mainland)",82,"India"
516,"Namibia",116,"Namibia"
947,"Morocco (Mediterranean)",113,"Morocco"
132,"Cape Verde",27,"Cape Verde"
974,"Korea (North, Sea of Japan)",94,"Korea (North)"
608,"Philippines",138,"Philippines"
934,"Egypt (Red Sea)",182,"Egypt"
434,"Libya",100,"Libya"
388,"Jamaica",90,"Jamaica"
156,"China",31,"China"
218,"Ecuador (mainland)",49,"Ecuador"
400,"Jordan",92,"Jordan"
70,"Bosnia & Herzegovina",14,"Bosnia & Herzegovina"
923,"Iran (Sea of Oman)",84,"Iran"
463,"Malaysia (Sarawak)",104,"Malaysia"
48,"Bahrain",9,"Bahrain"
32,"Argentina",6,"Argentina"
784,"United Arab Emirates",176,"United Arab Emirates"
152,"Chile (mainland)",30,"Chile"
380,"Italy (mainland)",88,"Italy"
918,"France (Mediterranean)",58,"France"
826,"United Kingdom (UK)",183,"United Kingdom"
554,"New Zealand",123,"New Zealand"
848,"USA (West Coast)",187,"USA"
352,"Iceland",81,"Iceland"
973,"Korea (North, Yellow Sea)",94,"Korea (North)"
